County of Indictment,Total_Count,Nonwhite_Count,Nonwhite_Percentage
ALBANY,1031,846.0,82.05625606207565
ALLEGANY,36,3.0,8.333333333333332
BRONX,2120,2077.0,97.97169811320755
BROOME,555,272.0,49.009009009009006
CATTARAUGUS,93,37.0,39.784946236559136
CAYUGA,212,93.0,43.86792452830189
CHAUTAUQUA,140,65.0,46.42857142857143
CHEMUNG,288,165.0,57.291666666666664
CHENANGO,104,10.0,9.615384615384617
CLINTON,248,80.0,32.25806451612903
COLUMBIA,90,44.0,48.888888888888886
CORTLAND,84,22.0,26.190476190476193
DELAWARE,33,3.0,9.090909090909092
DUTCHESS,509,366.0,71.90569744597249
ERIE,1690,1380.0,81.65680473372781
ESSEX,72,3.0,4.166666666666666
FRANKLIN,103,23.0,22.330097087378643
FULTON,102,27.0,26.47058823529412
GENESEE,198,98.0,49.494949494949495
GREENE,77,32.0,41.55844155844156
HAMILTON,3,,
HERKIMER,92,18.0,19.565217391304348
JEFFERSON,207,83.0,40.09661835748793
KINGS,3247,3077.0,94.76439790575915
LEWIS,48,6.0,12.5
LIVINGSTON,110,38.0,34.54545454545455
MADISON,119,25.0,21.008403361344538
MONROE,2056,1777.0,86.42996108949417
MONTGOMERY,108,54.0,50.0
NASSAU,1055,900.0,85.30805687203792
NEW YORK,4138,3919.0,94.7075882068632
NIAGARA,486,300.0,61.72839506172839
ONEIDA,750,485.0,64.66666666666666
ONONDAGA,1408,1073.0,76.20738636363636
ONTARIO,245,123.0,50.204081632653065
ORANGE,675,508.0,75.25925925925925
ORLEANS,78,32.0,41.02564102564102
OSWEGO,263,52.0,19.771863117870723
OTSEGO,113,32.0,28.31858407079646
PUTNAM,52,29.0,55.769230769230774
QUEENS,2409,2278.0,94.56205894562059
RENSSELAER,264,163.0,61.74242424242424
RICHMOND,554,472.0,85.1985559566787
ROCKLAND,236,200.0,84.7457627118644
SARATOGA,300,89.0,29.666666666666668
SCHENECTADY,550,435.0,79.0909090909091
SCHOHARIE,23,6.0,26.08695652173913
SCHUYLER,35,5.0,14.285714285714285
SENECA,49,17.0,34.69387755102041
ST LAWRENCE,262,56.0,21.374045801526716
STEUBEN,234,53.0,22.64957264957265
SUFFOLK,1396,1066.0,76.36103151862464
SULLIVAN,258,149.0,57.751937984496124
TIOGA,70,26.0,37.142857142857146
TOMPKINS,101,46.0,45.54455445544555
ULSTER,323,197.0,60.99071207430341
UNKNOWN,70,61.0,87.14285714285714
WARREN,182,48.0,26.373626373626376
WASHINGTON,182,45.0,24.725274725274726
WAYNE,119,51.0,42.857142857142854
WESTCHESTER,861,782.0,90.8246225319396
WYOMING,90,18.0,20.0
YATES,53,11.0,20.754716981132077
