County of Indictment,Total_Count,ASIAN,BLACK,HISPANIC,NATIVE AMERICAN,OTHER,WHITE
NEW YORK,4138,32,2090,1666,32,99,219
KINGS,3247,29,2177,773,17,81,170
QUEENS,2409,83,1316,754,13,112,131
BRONX,2120,3,986,1034,10,44,43
MONROE,2056,14,1389,329,21,24,279
ERIE,1690,3,1110,219,18,30,310
ONONDAGA,1408,3,795,214,35,26,335
SUFFOLK,1396,7,578,435,17,29,330
NASSAU,1055,12,555,302,5,26,155
ALBANY,1031,2,688,120,11,25,185
WESTCHESTER,861,2,489,270,5,16,79
ONEIDA,750,7,344,111,10,13,265
ORANGE,675,0,314,176,3,15,167
BROOME,555,4,195,63,6,4,283
RICHMOND,554,5,286,149,6,26,82
SCHENECTADY,550,3,311,81,7,33,115
DUTCHESS,509,1,255,91,1,18,143
NIAGARA,486,0,228,44,20,8,186
ULSTER,323,0,117,70,2,8,126
SARATOGA,300,0,53,23,5,8,211
CHEMUNG,288,0,123,34,1,7,123
RENSSELAER,264,0,117,38,1,7,101
OSWEGO,263,0,21,20,9,2,211
ST LAWRENCE,262,0,28,14,8,6,206
SULLIVAN,258,2,92,47,5,3,109
CLINTON,248,0,52,19,5,4,168
ONTARIO,245,1,74,40,0,8,122
ROCKLAND,236,2,99,87,2,10,36
STEUBEN,234,1,31,11,4,6,181
CAYUGA,212,2,75,14,0,2,119
JEFFERSON,207,0,60,17,1,5,124
GENESEE,198,1,70,16,5,6,100
WARREN,182,1,28,14,3,2,134
WASHINGTON,182,1,25,14,1,4,137
CHAUTAUQUA,140,0,35,22,7,1,75
MADISON,119,0,13,9,2,1,94
WAYNE,119,0,38,9,2,2,68
OTSEGO,113,0,23,8,0,1,81
LIVINGSTON,110,1,19,16,0,2,72
MONTGOMERY,108,0,18,31,4,1,54
CHENANGO,104,0,4,6,0,0,94
FRANKLIN,103,0,8,5,10,0,80
FULTON,102,2,21,4,0,0,75
TOMPKINS,101,0,37,4,2,3,55
CATTARAUGUS,93,1,17,9,10,0,56
HERKIMER,92,0,14,3,1,0,74
COLUMBIA,90,1,22,16,0,5,46
WYOMING,90,0,11,6,1,0,72
CORTLAND,84,0,17,4,1,0,62
ORLEANS,78,0,16,15,1,0,46
GREENE,77,0,21,9,0,2,45
ESSEX,72,0,1,0,0,2,69
TIOGA,70,0,17,6,1,2,44
UNKNOWN,70,0,3,1,0,57,9
YATES,53,0,5,5,1,0,42
PUTNAM,52,0,8,18,1,2,23
SENECA,49,0,11,3,2,1,32
LEWIS,48,0,4,2,0,0,42
ALLEGANY,36,0,2,1,0,0,33
SCHUYLER,35,0,3,2,0,0,30
DELAWARE,33,0,1,2,0,0,30
SCHOHARIE,23,0,1,4,0,1,17
HAMILTON,3,0,0,0,0,0,3
