County of Indictment,Count,Percentage
ALBANY,1031,3.2565779083357027
ALLEGANY,36,0.11371174073723112
BRONX,2120,6.696358065636944
BROOME,555,1.753056003032313
CATTARAUGUS,93,0.29375533023784706
CAYUGA,212,0.6696358065636944
CHAUTAUQUA,140,0.4422123250892322
CHEMUNG,288,0.9096939258978489
CHENANGO,104,0.328500584352001
CLINTON,248,0.7833475473009255
COLUMBIA,90,0.2842793518430778
CORTLAND,84,0.2653273950535393
DELAWARE,33,0.10423576234246186
DUTCHESS,509,1.607757667645851
ERIE,1690,5.338134495720016
ESSEX,72,0.22742348147446223
FRANKLIN,103,0.3253419248870779
FULTON,102,0.32218326542215486
GENESEE,198,0.6254145740547712
GREENE,77,0.24321677879907766
HAMILTON,3,0.00947597839476926
HERKIMER,92,0.29059667077292395
JEFFERSON,207,0.6538425092390789
KINGS,3247,10.256167282605261
LEWIS,48,0.15161565431630816
LIVINGSTON,110,0.3474525411415395
MADISON,119,0.3758804763258473
MONROE,2056,6.494203859881866
MONTGOMERY,108,0.34113522221169335
NASSAU,1055,3.3323857354938564
NEW YORK,4138,13.070532865851733
NIAGARA,486,1.53510849995262
ONEIDA,750,2.368994598692315
ONONDAGA,1408,4.447392526611706
ONTARIO,245,0.7738715689061563
ORANGE,675,2.1320951388230833
ORLEANS,78,0.24637543826400077
OSWEGO,263,0.8307274392747718
OTSEGO,113,0.3569285195363088
PUTNAM,52,0.1642502921760005
QUEENS,2409,7.609210650999716
RENSSELAER,264,0.8338860987396949
RICHMOND,554,1.7498973435673901
ROCKLAND,236,0.7454436337218484
SARATOGA,300,0.947597839476926
SCHENECTADY,550,1.7372627057076977
SCHOHARIE,23,0.07264916769323099
SCHUYLER,35,0.11055308127230805
SENECA,49,0.15477431378123124
ST LAWRENCE,262,0.8275687798098487
STEUBEN,234,0.7391263147920023
SUFFOLK,1396,4.409488613032629
SULLIVAN,258,0.8149341419501563
TIOGA,70,0.2211061625446161
TOMPKINS,101,0.31902460595723175
ULSTER,323,1.020247007170157
UNKNOWN,70,0.2211061625446161
WARREN,182,0.5748760226160017
WASHINGTON,182,0.5748760226160017
WAYNE,119,0.3758804763258473
WESTCHESTER,861,2.7196057992987774
WYOMING,90,0.2842793518430778
YATES,53,0.1674089516409236
